Number of leaf symbols,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
3,27,16,0,4,0,4,127159,1,4,173822,1,4,428866,1,4,186350,1
3,21,12,0,3,0,4,93722,1,5,100128,1,4,77752,1,4,75663,1
3,13,8,0,4,0,4,20223,1,4,18651,1,4,23600,1,4,26924,1
3,23,14,0,4,0,4,84322,1,4,100666,1,4,111460,1,4,205421,1
3,13,9,0,9,0,4,19616,1,4,27192,1,4,23240,1,4,28717,1
3,27,15,0,6,0,4,370804,1,4,622058,1,4,218511,1,4,370470,1
3,21,10,0,2,0,4,99436,1,4,78350,1,4,142305,1,4,114938,1
4,55,27,1,6,1,0,3219,0,6,5535833,1,5,2485329,1,4,2896545,1
3,21,11,0,1,0,4,59214,1,4,91114,1,4,81555,1,4,91114,1
4,36,19,0,19,0,4,592610,1,6,833373,1,4,1328288,1,3,915554,1
3,8,7,0,5,0,3,5349,1,3,7659,1,3,3406,1,4,4653,1
4,103,33,8,4,4,8,6927807,1,9,22743146,0,9,11302769,1,9,10497866,1
4,46,22,0,4,2,4,969996,1,4,1697644,1,3,954865,1,4,2389503,1
4,100,44,8,3,17,13,11900698,0,13,32842113,0,25,48858829,1,13,32842113,0
3,21,11,0,3,0,4,54679,1,4,68510,1,0,12006,0,4,78068,1
3,9,7,0,5,0,3,11146,1,3,10925,1,4,32786,1,3,17793,1
3,21,12,0,4,0,4,87046,1,4,121939,1,4,57976,1,0,43029,0
3,21,14,0,3,0,4,59769,1,4,94563,1,4,77307,1,4,94103,1
3,24,15,0,7,0,4,189215,1,4,178618,1,4,275578,1,4,235332,1
4,24,17,0,17,0,3,198977,1,3,140036,1,3,166746,1,4,150964,1
3,27,16,0,4,0,4,185551,1,0,25922,0,4,491944,1,0,25980,0
3,22,13,0,4,0,5,116721,1,4,115024,1,4,137990,1,0,310,0
3,27,12,0,4,0,4,104701,1,0,55888,0,4,165658,1,4,98856,1
4,148,43,40,3,48,33,23848788,0,0,38962,0,48,92774715,1,0,20344,0
4,64,26,1,26,1,5,3445609,1,5,3723510,1,5,3095572,1,5,3836455,1
4,160,38,40,2,30,24,29784174,1,22,27828983,1,37,60226994,1,37,63323559,1
3,21,16,0,4,0,5,120383,1,4,151496,1,4,126397,1,4,145233,1
3,9,7,0,5,0,3,4442,1,4,10230,1,4,5214,1,4,4477,1
3,24,12,0,2,0,4,245443,1,4,204095,1,4,252477,1,4,141968,1
4,148,33,24,4,27,33,28030053,1,40,82443345,1,21,29288519,1,27,45823145,1
3,27,18,0,3,0,4,153847,1,4,179353,1,0,109907,0,4,137252,1
3,8,7,0,4,0,4,3765,1,3,5228,1,3,5320,1,4,5356,1
4,127,29,15,5,10,14,17973875,1,39,80391133,1,19,32198657,1,20,35319757,1
3,21,12,0,2,0,4,76855,1,4,112410,1,0,112043,0,4,122658,1
3,8,7,0,6,0,3,2990,1,3,3516,1,4,3724,1,4,4813,1
3,15,9,0,1,0,4,34607,1,3,24695,1,4,33819,1,4,24695,1
3,15,11,0,3,0,4,27316,1,4,35768,1,3,28379,1,4,42936,1
3,15,11,0,5,0,4,33274,1,4,32910,1,4,113472,1,4,46405,1
4,88,30,5,2,9,11,7428417,1,13,22149733,1,17,30528076,1,13,22149735,1
3,24,14,0,5,0,4,127434,1,4,340554,1,4,320933,1,4,401339,1
3,12,5,0,5,0,0,3447,0,3,3193,1,0,3088,0,4,6439,1
3,27,15,0,5,0,3,211630,1,4,260187,1,4,176180,1,4,240125,1
4,61,21,1,21,1,5,3401246,1,4,2974077,1,5,4244279,1,4,2719704,1
3,27,15,0,15,0,4,395451,1,0,250,0,4,277825,1,4,547123,1
4,46,20,0,4,0,3,1345007,1,4,2074406,1,4,2062182,1,4,2073569,1
3,15,12,0,4,0,3,46277,1,3,38870,1,3,74389,1,3,47765,1
3,27,19,0,7,0,4,502508,1,4,310694,1,0,270095,0,4,508654,1
3,21,12,0,4,0,3,73161,1,3,82352,1,3,45249,1,4,164555,1
3,21,15,0,1,0,3,79193,1,3,112451,1,3,104013,1,3,112451,1
3,24,14,0,3,0,3,167202,1,3,164620,1,3,338077,1,4,120147,1
3,24,16,0,5,0,4,107349,1,0,4878,0,3,153343,1,4,608277,1
3,21,13,0,3,0,3,65680,1,3,119194,1,4,160883,1,3,119194,1
3,27,13,0,3,0,3,177717,1,4,254667,1,4,275207,1,4,409621,1
3,6,5,0,5,0,3,1370,1,3,1665,1,3,1934,1,4,2858,1
3,7,6,0,6,0,3,9171,1,3,5982,1,3,8359,1,3,4286,1
